courseId,bankName,bankType,evaluationType,scopeType,scopeOrder,question,labelA,labelB,labelC,labelD,isCorrect
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,Spread widening is most directly influenced by:,Timeframe selection,Increased liquidity depth,Reduced liquidity availability,Indicator signals,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,Slippage increases during major news because:,Broker delays orders,Liquidity and price levels update rapidly,Retail coordination,Platform freeze,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,Misunderstanding execution structure may cause traders to:,Improve timing,Misinterpret spread and slippage,Reduce risk exposure,Eliminate volatility,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,Receiving a different fill price during volatility most likely reflects:,Platform malfunction,Normal slippage due to liquidity shifts,Personal targeting,Indicator repainting,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,Wider spreads during low-liquidity hours indicate:,Higher liquidity depth,Reduced participation from LPs,Increased stability,Removed execution cost,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,Order rejection under Instant Execution most likely occurs because:,Requested price unavailable,Market manipulation,Retail blocking execution,Spread absent,A
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,Different tick values across instruments affect:,Chart color,Execution speed only,Position sizing and risk exposure,Indicator accuracy,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,Liquidity in financial markets refers to:,Market prediction accuracy,Availability of executable buy and sell orders,Number of indicators,Broker commission rates,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,Buy-side liquidity commonly exists:,Below recent lows,Above recent highs,At random levels,Only during news,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,Sell-side liquidity is typically found:,Above recent highs,Inside indicators,Below recent lows,Only during low volatility,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,Order flow refers to:,Indicator signals,Interaction between aggressive and resting orders,Central bank announcements,Broker marketing,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,Price accelerates most rapidly when:,Liquidity is deep,Order flow equal,Available liquidity is consumed quickly,Spread is zero,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,Equal highs attract price because:,Indicators repaint,Liquidity clusters may exist above them,Brokers prefer round numbers,Volatility disappears,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,"If aggressive selling overwhelms buy liquidity, price will:",Rise sharply,Remain stable,Decline,Freeze,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,Thin liquidity conditions result in:,Smaller candles,Slower execution,Faster and larger price movement,Spread elimination,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,A breakout with rapid expansion indicates:,Personal stop targeting,Liquidity interaction and imbalance,Indicator malfunction,Platform error,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,Liquidity awareness helps stop placement because it:,Guarantees no loss,Avoids obvious liquidity clusters,Eliminates slippage,Removes volatility,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,Balanced order flow typically produces:,Large impulses,Tight consolidation ranges,Immediate breakouts,Zero spread,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,Rapid acceleration above equal highs most likely reflects:,Retail coordination,Liquidity consumption and aggressive buying,Chart distortion,Indicator repainting,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,Erratic large candles during low-liquidity hours suggest:,Deep liquidity,Balanced flow,Thin liquidity and higher sensitivity,Zero cost trading,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,Repeated failure at a level indicates:,Lack of liquidity,Strong opposing resting orders,Indicator malfunction,Broker manipulation,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,Rapid move below lows followed by reversal reflects:,Emotion only,Liquidity interaction followed by opposing flow,Spread removal,Guaranteed trend,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 5 Quiz,QUIZ,QUIZ,LESSON,5,Forex instruments are primarily traded in:,Single currencies only,Commodity contracts,Currency pairs,Stock baskets,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 5 Quiz,QUIZ,QUIZ,LESSON,5,Gold (XAUUSD) is commonly influenced by:,Agricultural output,Inflation expectations and real interest rates,Corporate earnings only,Retail trading volume,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 5 Quiz,QUIZ,QUIZ,LESSON,5,Oil prices are strongly affected by:,OPEC production decisions,Chart colors,Indicator settings,Retail forum discussions,A
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 5 Quiz,QUIZ,QUIZ,LESSON,5,Indices such as NASDAQ represent:,Single currency values,Individual commodities,Baskets of stocks,Central bank reserves,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 5 Quiz,QUIZ,QUIZ,LESSON,5,Contract specifications in MT5 determine:,Chart template appearance,Position sizing and tick value,News frequency,Indicator repainting,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 5 Quiz,QUIZ,QUIZ,LESSON,5,Major Forex pairs have tighter spreads because they:,Are less traded,Have deeper liquidity,Are broker preferred,Are less volatile,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 5 Quiz,QUIZ,QUIZ,LESSON,5,Gold exhibits higher volatility than EURUSD because it is:,Illiquid,Sensitive to macroeconomic shifts and risk sentiment,Retail driven,Spread free,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 5 Quiz,QUIZ,QUIZ,LESSON,5,Indices trend strongly during active sessions because they:,Are random,Reflect active equity participation,Eliminate spread,Are retail controlled,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 5 Quiz,QUIZ,QUIZ,LESSON,5,Different tick values primarily affect:,Indicator reliability,Spread visibility,Risk exposure per lot,Market closing time,C
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 5 Quiz,QUIZ,QUIZ,LESSON,5,Asset selection must align with account size to:,Eliminate losses,Match volatility with risk capacity,Guarantee direction,Avoid spread,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 5 Quiz,QUIZ,QUIZ,LESSON,5,Oil can experience sharp moves because of:,Fixed liquidity,Supply disruptions and geopolitical events,Broker control,Indicator shifts,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 5 Quiz,QUIZ,QUIZ,LESSON,5,Gold having a larger tick value than EURUSD means:,Smaller stops required,Price changes impact equity more per lot,Spread irrelevant,No volatility,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 5 Quiz,QUIZ,QUIZ,LESSON,5,Trading an index with same lot size as EURUSD causes larger swings due to:,Broker manipulation,Different contract size and volatility,Indicator error,Spread removal,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 5 Quiz,QUIZ,QUIZ,LESSON,5,Oil moving sharply during geopolitical tension reflects:,Random pricing,Different asset class drivers,Retail influence,Platform malfunction,B
cmlf8ui0u0000os5iqlycmegv,Module 1 - Lesson 5 Quiz,QUIZ,QUIZ,LESSON,5,Using high lot size on volatile instrument increases risk of:,Stable equity,Increased drawdown variability,Reduced margin usage,Spread elimination,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,A candlestick represents:,A price prediction model,Aggregated transaction data over a timeframe,Institutional positioning,Indicator calculation,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,The body of a candlestick represents the range between:,High and Low,Open and Close,Bid and Ask,Spread and Close,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,The upper wick represents:,The closing price,The opening price,The highest traded price during the timeframe,The lowest traded price during the timeframe,C
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,A bullish candlestick forms when:,High equals Low,Close is above Open,Open equals Close,Spread narrows,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,Candlesticks are built from which four data points?,"Volume, Spread, Open, Close","Open, High, Low, Close","High, Low, Spread, Tick","Bid, Ask, Volume, Close",B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,A long candle body most structurally indicates:,Guaranteed continuation,Strong directional displacement during that timeframe,Low liquidity,Indicator confirmation,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,Wicks represent:,Broker manipulation,Executed prices not sustained at close,Spread expansion only,Hidden liquidity,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,A small-bodied candle typically reflects:,Strong trend certainty,Temporary balance between buyers and sellers,High volatility expansion,Institutional reversal,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,Candlestick color indicates:,Future price direction,Net displacement between open and close,Institutional bias,Spread size,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,OHLC data forms the structure of:,Indicators only,Spread calculation,Candlestick charts,Liquidity pools,C
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,A long upper wick most logically indicates:,Guaranteed bearish reversal,Price traded higher but closed lower than that high,No liquidity,Spread elimination,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,"On MT5, you observe a candle with a long lower wick and small body. Structurally, this means:",Guaranteed upward reversal,Price traded lower but did not sustain at that level,Spread was removed,Indicator repainting occurred,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,Switching from M5 to H1 changes candle appearance because:,Price data changes,Time aggregation compresses multiple candles into one,Broker adjusts price,Spread disappears,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,A bearish candle does NOT guarantee downward continuation because:,Candles are random,"Candles describe completed data, not future movement",Brokers intervene,Spread widens automatically,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 1 Quiz,QUIZ,QUIZ,LESSON,1,"If a candle closes near its high, the only confirmed information is:",Future breakout,Institutional entry,Final closing position relative to its range,Guaranteed continuation,C
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,A timeframe defines:,Market direction,The duration of data represented by one candlestick,Spread size,Liquidity depth,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,"On MT5, an H1 candle represents:",1 minute of data,5 minutes of data,1 hour of aggregated transactions,1 day of transactions,C
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Sixty M1 candles are equivalent to:,One M15 candle,One H1 candle,One H4 candle,One D1 candle,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Switching timeframes changes:,Historical price,Executed transactions,The visual aggregation of price data,Institutional participation,C
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Higher timeframes generally:,Show more granular detail,Contain fewer candles,Increase price speed,Eliminate volatility,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,A higher timeframe candle forms by:,Predicting future price,Aggregating multiple lower timeframe candles,Removing volatility,Changing liquidity,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Lower timeframes often appear more volatile because they:,Change the market,Display smaller fluctuations in greater detail,Increase liquidity,Reduce spread,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,"If an H1 candle is bullish, the M5 chart inside that hour may:",Only contain bullish candles,Contain both bullish and bearish candles,Show no volatility,Eliminate spread,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Different timeframes do NOT contradict each other because they:,Predict different outcomes,Represent the same transactions at different compression levels,Change liquidity,Alter price history,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Selecting a timeframe primarily affects:,Market fundamentals,Data compression level,Institutional behavior,Monetary policy,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Lower timeframe “noise” refers to:,Manipulation,Smaller price fluctuations visible due to higher granularity,Spread disappearance,Institutional errors,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,"You observe a strong bullish H1 candle. On M5 within that same hour, you notice both bullish and bearish candles. This reflects:",Market inconsistency,Normal aggregation of price fluctuations,Indicator repainting,Broker adjustment,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,Switching from M1 to H4 does NOT change:,Candle size,Data compression,Historical executed prices,Visual appearance,C
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,"A trader assumes lower timeframes provide “earlier signals.” Structurally, this belief ignores that:",Lower timeframes predict direction,"Timeframes only change aggregation, not future outcome",Brokers adjust price,Spread disappears,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 2 Quiz,QUIZ,QUIZ,LESSON,2,"When switching timeframes in MT5, any change in candle shape is due to:",New market data,Different institutional orders,Different compression of the same transactions,Spread recalculation,C
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,OHLC stands for:,"Order, Hedge, Liquidity, Close","Open, High, Low, Close","High, Low, Open, Contract","Open, High, Liquidity, Close",B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,The “Open” price represents:,The highest price in the timeframe,The first executed price in the timeframe,The closing price,The average price,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,The “Close” price represents:,The final executed price before the timeframe ends,The lowest price,The highest price,The average spread,A
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,The “High” of a candle is:,The highest bid price displayed,The highest traded price during the timeframe,The opening price,The closing price,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,OHLC data forms the foundation of:,Monetary policy,Candlestick charts,Spread calculation only,Broker pricing rules,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,"During a timeframe, the High and Low are determined by:",Indicator settings,The highest and lowest executed transactions,Broker preference,Spread widening,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,OHLC data does NOT reveal:,The highest price,The lowest price,The exact sequence of price movement within the timeframe,The closing price,C
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,Two candles can have identical OHLC values even if:,Liquidity changes,The intraperiod price path differed,Spread disappears,Volume is zero,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,"If Close is above Open, the candle is considered:",Neutral,Bearish,Bullish,Illiquid,C
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,Higher timeframe OHLC values are formed by:,Recalculating price,Aggregating lower timeframe transactions,Removing volatility,Adjusting spread,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,A candle closing near its low confirms:,Future downward continuation,The final price relative to the candle’s range,Institutional dominance,Spread expansion,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,"On MT5, you check the Data Window of an H1 candle. The High is greater than any M5 candle inside that hour. This indicates:",Data inconsistency,Aggregation error,The H1 High reflects the highest traded price during that hour,Broker adjustment,C
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,"Two H1 candles show identical OHLC values on different days. Structurally, this means:",The intraperiod price movement was identical,Only the four data points matched,Spread was constant,Volatility was zero,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,A trader assumes a candle that closes near its high guarantees continuation. This belief ignores that:,Candles are random,"OHLC describes completed data, not future price",Spread widens automatically,Brokers intervene,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 3 Quiz,QUIZ,QUIZ,LESSON,3,"If the Low of an H1 candle equals the Low of one of its M5 candles, this confirms:",Aggregation consistency,Indicator repainting,Spread elimination,Institutional targeting,A
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,The Forex market operates:,Only during London hours,"24 hours a day, Monday to Friday",Only during New York hours,Only during Asia session,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,The three major trading sessions are:,"Asia, Europe, America","Tokyo, Frankfurt, Chicago","Asia, London, New York","Sydney, Paris, Canada",C
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,The London session is generally known for:,Lowest liquidity,Highest liquidity in Forex,Zero volatility,Market closure,B
cmlf8ui0u0000os5iqlycmegv,Module 2 - Lesson 4 Quiz,QUIZ,QUIZ,LESSON,4,The London–New York overlap typically results in:,Reduced liquidity,Increased participation from major institutions,Market shutdown,Fixed spreads,B
